CancerType,ENSG,cMDT,GeneName,Count,Total,Frequency
Muscle.Bone-Leiomyo,ENSG00000150527,ENST00000557038,CTAGE5,2,34,0.06
Muscle.Bone-Leiomyo,ENSG00000148343,ENST00000406926,FAM73B,2,34,0.06
Muscle.Bone-Leiomyo,ENSG00000147403,ENST00000406022,RPL10,2,34,0.06
Muscle.Bone-Leiomyo,ENSG00000138617,ENST00000559805,PARP16,2,34,0.06
Muscle.Bone-Leiomyo,ENSG00000136522,ENST00000392659,MRPL47,2,34,0.06
Muscle.Bone-Leiomyo,ENSG00000128581,ENST00000498704,RABL5,2,34,0.06
Muscle.Bone-Leiomyo,ENSG00000126882,ENST00000464831,FAM78A,2,34,0.06
Muscle.Bone-Leiomyo,ENSG00000120549,ENST00000376454,KIAA1217,2,34,0.06
Muscle.Bone-Leiomyo,ENSG00000115540,ENST00000233892,MOB4,2,34,0.06
Muscle.Bone-Leiomyo,ENSG00000113648,ENST00000304332,H2AFY,2,34,0.06
Muscle.Bone-Leiomyo,ENSG00000113456,ENST00000382038,RAD1,2,34,0.06
Muscle.Bone-Leiomyo,ENSG00000108465,ENST00000536708,CDK5RAP3,2,34,0.06
Muscle.Bone-Leiomyo,ENSG00000105048,ENST00000586649,TNNT1,2,34,0.06
Muscle.Bone-Leiomyo,ENSG00000089682,ENST00000372479,RBM41,2,34,0.06
Muscle.Bone-Leiomyo,ENSG00000087191,ENST00000585242,PSMC5,2,34,0.06
Muscle.Bone-Leiomyo,ENSG00000074582,ENST00000426649,BCS1L,2,34,0.06
Lung.Lung-SCC,ENSG00000188001,ENST00000425670,TPRG1,3,47,0.06
Lung.Lung-SCC,ENSG00000172673,ENST00000368248,THEMIS,3,47,0.06
Lung.Lung-SCC,ENSG00000163322,ENST00000506553,FAM175A,3,47,0.06
Lung.Lung-SCC,ENSG00000120471,ENST00000458238,TP53AIP1,3,47,0.06
Lung.Lung-SCC,ENSG00000107954,ENST00000369780,NEURL1,3,47,0.06
Liver.Liver-HCC,ENSG00000186767,ENST00000374884,SPIN4,6,100,0.06
Liver.Liver-HCC,ENSG00000160229,ENST00000594534,ZNF66,6,100,0.06
Liver.Liver-HCC,ENSG00000154328,ENST00000436750,NEIL2,6,100,0.06
Liver.Biliary-AdenoCA,ENSG00000243710,ENST00000372492,WDR65,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000239697,ENST00000322272,TNFSF12,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000197857,ENST00000355684,ZNF44,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000188997,ENST00000528776,KCTD21,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000188372,ENST00000394857,ZP3,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000183484,ENST00000551869,GPR132,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000175309,ENST00000474052,PHYKPL,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000166535,ENST00000299698,A2ML1,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000166394,ENST00000524790,CYB5R2,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000165682,ENST00000348658,CLEC1B,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000165633,ENST00000298454,VSTM4,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000163959,ENST00000415111,SLC51A,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000163681,ENST00000295952,SLMAP,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000163520,ENST00000295761,FBLN2,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000159915,ENST00000391958,ZNF233,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000159173,ENST00000555340,TNNI1,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000157423,ENST00000378856,HYDIN,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000154240,ENST00000581734,CEP112,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000148429,ENST00000379237,USP6NL,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000145217,ENST00000398520,SLC26A1,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000142609,ENST00000604159,C1orf222,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000141505,ENST00000574388,ASGR1,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000138115,ENST00000490994,CYP2C8,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000136874,ENST00000531035,STX17,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000136279,ENST00000432854,DBNL,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000131966,ENST00000556243,ACTR10,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000119397,ENST00000238341,CNTRL,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000118564,ENST00000341285,FBXL5,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000114859,ENST00000344937,CLCN2,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000109684,ENST00000226951,CLNK,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000109066,ENST00000582773,TMEM104,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000105662,ENST00000338797,CRTC1,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000104938,ENST00000327325,CLEC4M,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000103888,ENST00000394685,KIAA1199,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000103274,ENST00000433392,NUBP1,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000101901,ENST00000436609,ALG13,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000100906,ENST00000554001,NFKBIA,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000092036,ENST00000490506,HAUS4,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000084734,ENST00000424318,GCKR,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000074054,ENST00000409078,CLASP1,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000066427,ENST00000429774,ATXN3,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000064763,ENST00000551193,FAR2,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000029153,ENST00000266503,ARNTL2,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000005471,ENST00000440025,ABCB4,1,18,0.06
Liver.Biliary-AdenoCA,ENSG00000005007,ENST00000599848,UPF1,1,18,0.06
Kidney.Kidney-RCC,ENSG00000163629,ENST00000411767,PTPN13,7,117,0.06
Kidney.Kidney-RCC,ENSG00000154025,ENST00000395647,SLC5A10,7,117,0.06
Kidney.Kidney-RCC,ENSG00000067066,ENST00000409824,SP100,7,117,0.06
Colon.ColoRect-AdenoCA,ENSG00000262621,ENST00000608993,NAA60,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000255152,ENST00000498473,MSH5-SAPCD1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000241127,ENST00000448268,YAE1D1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000229833,ENST00000456958,PET100,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000223501,ENST00000436044,VPS52,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000204310,ENST00000412465,AGPAT1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000204152,ENST00000483296,TIMM23B,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000198855,ENST00000361549,FICD,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000198589,ENST00000508606,LRBA,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000197782,ENST00000601715,ZNF780A,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000188739,ENST00000474086,RBM34,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000188352,ENST00000604254,FOCAD,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000186188,ENST00000604414,FFAR4,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000186153,ENST00000569332,WWOX,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000185591,ENST00000327443,SP1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000185252,ENST00000405993,ZNF74,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000184708,ENST00000382180,EIF4ENIF1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000182500,ENST00000537188,ORAI1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000181350,ENST00000470794,FAM211A,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000178950,ENST00000511163,GAK,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000177885,ENST00000316615,GRB2,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000177181,ENST00000410070,RIMKLA,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000173442,ENST00000533465,EHBP1L1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000172432,ENST00000307114,GTPBP2,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000172057,ENST00000584000,ORMDL3,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000171860,ENST00000546241,C3AR1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000170515,ENST00000552766,PA2G4,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000170448,ENST00000329043,NFXL1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000170043,ENST00000571947,TRAPPC1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000167741,ENST00000573591,GGT6,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000167733,ENST00000578046,HSD11B1L,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000167468,ENST00000593032,GPX4,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000167323,ENST00000532610,STIM1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000167302,ENST00000571115,ENTHD2,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000167191,ENST00000535671,GPRC5B,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000165949,ENST00000556544,IFI27,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000164949,ENST00000523433,GEM,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000164932,ENST00000415886,CTHRC1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000163694,ENST00000514014,RBM47,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000163479,ENST00000531917,SSR2,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000163026,ENST00000443232,C2orf44,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000162813,ENST00000414869,BPNT1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000162542,ENST00000375127,TMCO4,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000162302,ENST00000530504,RPS6KA4,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000161558,ENST00000541566,TMEM143,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000161217,ENST00000433733,PCYT1A,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000160877,ENST00000585663,NACC1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000158747,ENST00000427894,NBL1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000156469,ENST00000517720,MTERFD1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000156413,ENST00000592563,FUT6,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000156298,ENST00000286824,TSPAN7,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000154447,ENST00000511421,SH3RF1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000153823,ENST00000354069,PID1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000153721,ENST00000479339,CNKSR3,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000153391,ENST00000586489,INO80C,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000149313,ENST00000525660,AASDHPPT,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000148925,ENST00000528120,BTBD10,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000147679,ENST00000357148,UTP23,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000147274,ENST00000565438,RBMX,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000145555,ENST00000274203,MYO10,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000144635,ENST00000424991,DYNC1LI1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000144580,ENST00000418808,RQCD1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000143401,ENST00000369115,ANP32E,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000141682,ENST00000269518,PMAIP1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000141505,ENST00000380920,ASGR1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000141252,ENST00000401468,VPS53,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000140092,ENST00000556154,FBLN5,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000139433,ENST00000544393,GLTP,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000139131,ENST00000548490,YARS2,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000137878,ENST00000587652,GCOM1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000137819,ENST00000558684,PAQR5,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000137802,ENST00000456763,MAPKBP1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000136738,ENST00000540523,STAM,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000136450,ENST00000585096,SRSF1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000136143,ENST00000543413,SUCLA2,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000135919,ENST00000432738,SERPINE2,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000135503,ENST00000542485,ACVR1B,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000135069,ENST00000347159,PSAT1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000134970,ENST00000508420,TMED7,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000132376,ENST00000574561,INPP5K,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000131462,ENST00000589688,TUBG1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000128059,ENST00000507724,PPAT,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000125962,ENST00000479502,ARMCX5,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000125734,ENST00000598955,GPR108,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000125124,ENST00000562012,BBS2,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000124155,ENST00000545755,PIGT,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000123737,ENST00000511454,EXOSC9,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000121774,ENST00000492989,KHDRBS1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000121440,ENST00000466780,PDZRN3,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000120727,ENST00000511706,PAIP2,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000120265,ENST00000494411,PCMT1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000119711,ENST00000350259,ALDH6A1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000119682,ENST00000554070,AREL1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000117595,ENST00000542854,IRF6,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000117153,ENST00000435533,KLHL12,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000114520,ENST00000465505,SNX4,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000113552,ENST00000505689,GNPDA1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000112695,ENST00000459637,COX7A2,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000112679,ENST00000603795,DUSP22,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000112308,ENST00000378102,C6orf62,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000111859,ENST00000504387,NEDD9,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000109814,ENST00000503779,UGDH,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000109133,ENST00000508448,TMEM33,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000108960,ENST00000571578,MMD,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000108733,ENST00000586663,PEX12,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000108588,ENST00000582252,CCDC47,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000106351,ENST00000262935,AGFG2,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000105971,ENST00000393480,CAV2,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000105355,ENST00000585479,PLIN3,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000104331,ENST00000517461,IMPAD1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000104267,ENST00000520127,CA2,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000104093,ENST00000559059,DMXL2,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000103485,ENST00000562473,QPRT,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000101246,ENST00000607873,ARFRP1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000099341,ENST00000592561,PSMD8,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000094755,ENST00000521009,GABRP,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000094631,ENST00000444343,HDAC6,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000092964,ENST00000523027,DPYSL2,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000091009,ENST00000506502,RBM27,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000090372,ENST00000600615,STRN4,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000088387,ENST00000419908,DOCK9,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000085832,ENST00000396122,EPS15,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000083290,ENST00000575432,ULK2,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000082781,ENST00000481591,ITGB5,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000081307,ENST00000473651,UBA5,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000079999,ENST00000592055,KEAP1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000078399,ENST00000396345,HOXA9,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000076043,ENST00000541703,REXO2,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000075234,ENST00000445282,TTC38,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000074660,ENST00000573852,SCARF1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000072778,ENST00000583858,ACADVL,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000072062,ENST00000587372,PRKACA,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000070159,ENST00000394827,PTPN3,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000068366,ENST00000514500,ACSL4,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000064115,ENST00000543655,TM7SF3,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000051180,ENST00000531277,RAD51,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000043514,ENST00000544981,TRIT1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000025796,ENST00000446496,SEC63,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000015479,ENST00000512040,MATR3,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000009307,ENST00000534699,CSDE1,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000008083,ENST00000397311,JARID2,3,51,0.06
Colon.ColoRect-AdenoCA,ENSG00000005955,ENST00000593016,GGNBP2,3,51,0.06
CervixUteri.Cervix-SCC,ENSG00000244045,ENST00000395404,TMEM199,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000241106,ENST00000488325,HLA-DOB,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000235531,ENST00000522519,RP11-383H13.1,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000198551,ENST00000587939,ZNF627,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000198420,ENST00000478172,FAM115A,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000196352,ENST00000391921,CD55,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000188820,ENST00000368605,FAM26F,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000188343,ENST00000521641,FAM92A1,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000187527,ENST00000342358,ATP13A5,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000186517,ENST00000368016,ARHGAP30,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000176383,ENST00000324189,B3GNT4,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000175170,ENST00000584071,FAM182B,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000173262,ENST00000431042,SLC2A14,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000172244,ENST00000509489,C5orf34,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000172006,ENST00000591265,ZNF554,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000171401,ENST00000590425,KRT13,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000170417,ENST00000412401,TMEM182,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000169621,ENST00000529851,APLF,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000164344,ENST00000428196,KLKB1,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000163565,ENST00000448393,IFI16,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000162430,ENST00000354177,SEPN1,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000160255,ENST00000397846,ITGB2,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000157540,ENST00000455097,DYRK1A,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000156042,ENST00000340329,TTC18,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000153827,ENST00000389045,TRIP12,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000151503,ENST00000526422,NCAPD3,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000150459,ENST00000467636,SAP18,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000147050,ENST00000414389,KDM6A,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000146067,ENST00000514747,FAM193B,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000146067,ENST00000513282,FAM193B,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000142949,ENST00000359947,PTPRF,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000142798,ENST00000374676,HSPG2,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000141506,ENST00000269300,PIK3R5,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000141013,ENST00000536122,GAS8,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000140632,ENST00000587936,GLYR1,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000140104,ENST00000549240,C14orf79,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000137965,ENST00000446486,IFI44,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000137177,ENST00000502704,KIF13A,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000136875,ENST00000374199,PRPF4,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000133422,ENST00000429468,MORC2,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000132485,ENST00000370920,ZRANB2,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000131773,ENST00000520981,KHDRBS3,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000131203,ENST00000253513,IDO1,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000127990,ENST00000522045,SGCE,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000126882,ENST00000372271,FAM78A,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000121964,ENST00000409298,GTDC1,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000120068,ENST00000498634,HOXB8,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000119979,ENST00000535029,FAM45A,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000119946,ENST00000370528,CNNM1,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000118263,ENST00000423015,KLF7,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000118257,ENST00000450507,NRP2,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000115648,ENST00000434770,MLPH,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000115211,ENST00000347454,EIF2B4,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000114796,ENST00000473045,KLHL24,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000114383,ENST00000454201,TUSC2,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000112096,ENST00000367054,SOD2,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000109445,ENST00000515453,ZNF330,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000108654,ENST00000581693,DDX5,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000108278,ENST00000590827,ZNHIT3,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000106799,ENST00000374994,TGFBR1,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000106686,ENST00000381890,SPATA6L,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000105808,ENST00000519539,RASA4,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000104044,ENST00000353809,OCA2,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000103544,ENST00000543152,C16orf62,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000102935,ENST00000562871,ZNF423,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000101236,ENST00000545616,RNF24,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000100399,ENST00000455425,CHADL,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000100109,ENST00000407690,TFIP11,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000100109,ENST00000405938,TFIP11,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000100100,ENST00000441972,PIK3IP1,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000099256,ENST00000376376,PRTFDC1,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000087074,ENST00000600406,PPP1R15A,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000086991,ENST00000263317,NOX4,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000085185,ENST00000540052,BCORL1,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000078699,ENST00000543126,CBFA2T2,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000073146,ENST00000395854,MOV10L1,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000073008,ENST00000403059,PVR,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000071889,ENST00000322269,FAM3A,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000070729,ENST00000311183,CNGB1,1,18,0.06
CervixUteri.Cervix-SCC,ENSG00000070526,ENST00000589992,ST6GALNAC1,1,18,0.06
